Type,Text,Added
Scenario,Your team got re-orged,class 1
Scenario,Your technology stack is officially deprecated within the company,class 1
Scenario,Team member is fixated on getting a promotion,class 1
Scenario,Your most senior engineer quits,class 1
Scenario,Your team seems to be unmotivated and people leave work early,class 1
Scenario,Layoffs are announced and all the people laid off know. Some are on your team.,class 1
Scenario,Two people need to work together but they don't like each other,class 1
Scenario,New grads join your team. Now your team is 25% new grads with no professional experience.,class 1
Scenario,Team member wants to quit / transfer,class 1
Scenario,New app version goes live - crashing on launch,class 1
Scenario,Team complains too many meetings,class 1
Scenario,Work stopped. There is no clear design.,class 1
Scenario,Attrition trend: 3 people (a significant %) left over the last month,class 1
Scenario,Asked to do a cost savings project many people on the team are not that enthusiastic about (as opposed to a revenue generating project),class 1
Scenario,"Discovered project was unscoped and is totally behind in the schedule. Really need to launch it in 6 weeks, but team is giving up and doesn't believe it is possible.",class 1
Scenario,You started managing a new team and discover they don't have a clear roadmap of work for all the Engineers to do.,class 1
Scenario,"Your company is running out of money - need Series A, and your team needs to keep working on this product which is not yet seeing traction",class 1
Scenario,"Your team serves an important customer need, but it doesn't have any way to measure its Availability as perceived by your customers.",class 1
Scenario,Your team's project just got canceled.,class 1
Scenario,"Your team isn't a product team, rather a team only noticed if something breaks. This leads your team members to feel their work is not as visible and it appears harder to motivate them. As an EM you also wish to be on product where you would be more visible.",class 1
Scenario,"You have a clique on a team that makes it hard for others to feel at home. (formed via acquisition, former coworkers, just friends, etc)",class 1
Scenario,"Two engineers are stepping on each other's toes a bit when collaborating on a design doc. One engineer asks you: ""Hey, did you tell <other engineer> that I'm mad at him?""",class 2
Scenario,"Cross-functional partner put something in their OKRs that requires a bunch of work from your team. You didn't know about it, and the partner gets upset when it's revealed that you don't have a corresponding OKR.",class 2
Scenario,An engineer on your team who has been performing at a low level for years at your company. Their previous manager was complacent and gave them passing performance reviews. You need to make it clear that their previous level of performance is not acceptable anymore.,class 2
